Name,Address,Coordinates,Type,District
Вундеркинд,"микрорайон Таугуль-3, ул. Мажекена Бутина, 13","76.856940,43.204562",садик,Ауэзовский
Мир Детства,"Ауэзовский район, Цветочная ул., 1/4","76.852336,43.206673",садик,Ауэзовский
Детский сад № 47,"ул. Щепкина, 73","76.871675,43.208584",садик,Ауэзовский
Ясли-сад №160,"микрорайон Жетысу-2, 1А","76.843079,43.221943",садик,Ауэзовский
Ясли-Сад № 48,"микрорайон 10А, 4А","76.860874,43.217735",садик,Ауэзовский
Зере,"микрорайон Атамекен, 70Б","76.845581,43.208540",садик,Ауэзовский
СадOk,"микрорайон Алмас, 87","76.839294,43.206169",садик,Ауэзовский
Kids club,"Центральная ул., 5","76.866247,43.202141",садик,Ауэзовский
Диар,"2-й микрорайон, 40Г, этаж 1","76.860151,43.232693",садик,Ауэзовский
Ясли-сад № 27,"микрорайон Тастак-1, 9А","76.858509,43.248871",садик,Ауэзовский
International Montessori Kinderhouse,"микрорайон Куаныш, 20","76.853690,43.209390",садик,Ауэзовский
Детский сад № 34,"микрорайон Аксай-5, 22","76.833558,43.225762",садик,Ауэзовский
Ясли-сад № 100,"микрорайон Аксай-4, 51В","76.838980,43.228340",садик,Ауэзовский
Ясли-сад №35,"6-й микрорайон, 8А","76.855554,43.220039",садик,Ауэзовский
Ясли-сад №23,"Алматы, 12-й микрорайон, 4А","76.864659,43.219915",садик,Ауэзовский
Ясли-сад № 36,"7-й микрорайон, 26","76.862704,43.225062",садик,Ауэзовский
Ясли-сад № 39,"Актобе, 8-й микрорайон","76.867564,43.226047",садик,Ауэзовский
Ясли-сад № 50,"микрорайон Аксай-2, 54А","76.835695,43.236537",садик,Ауэзовский
Ясли-сад № 56,"микрорайон Аксай-4, 8А","76.839013,43.233119",садик,Ауэзовский
